DicAttributeID	DicOperationTypeID	DicAttributeTypeID	Name	IsRequired	IsNext	IsDisplayed	IsEditable	DateCreated	CreatedBy	DateUpdated	UpdatedBy
--------------	------------------	------------------	----	----------	------	-----------	----------	-----------	---------	-----------	---------
1	1	1	active	1	0	0	0	2026-06-12 08:47:21.8981290	rtds-seed	NULL	NULL
2	1	3	routingId	0	0	0	0	2026-06-12 08:47:21.8981290	rtds-seed	NULL	NULL
3	1	3	customerName	0	0	0	0	2026-06-12 08:47:21.8981290	rtds-seed	NULL	NULL
4	1	3	customerProject	0	0	0	0	2026-06-12 08:47:21.8981290	rtds-seed	NULL	NULL
5	1	3	ivrEvent	0	0	0	0	2026-06-12 08:47:21.8981290	rtds-seed	NULL	NULL
6	1	3	ivrAction	0	0	0	0	2026-06-12 08:47:21.8981290	rtds-seed	NULL	NULL
7	1	3	keysToLog	0	0	0	0	2026-06-12 08:47:21.8981290	rtds-seed	2026-07-01 10:33:10.4700000	GDG546@engie.com
8	1	3	nextStep	1	1	0	0	2026-06-12 08:47:21.8981290	rtds-seed	NULL	NULL
9	10	1	active	1	0	0	0	2026-06-12 08:47:21.8981290	rtds-seed	NULL	NULL
10	10	2	configId	1	0	0	0	2026-06-12 08:47:21.8981290	rtds-seed	NULL	NULL
11	10	3	configName	1	0	0	0	2026-06-12 08:47:21.8981290	rtds-seed	NULL	NULL
12	10	1	dialGuard	1	0	0	0	2026-06-12 08:47:21.8981290	rtds-seed	NULL	NULL
13	10	3	outboundANI	1	0	0	0	2026-06-12 08:47:21.8981290	rtds-seed	NULL	NULL
14	10	3	diversion	1	0	0	0	2026-06-12 08:47:21.8981290	rtds-seed	NULL	NULL
15	10	3	onHoldAudioUrl	1	0	0	0	2026-06-12 08:47:21.8981290	rtds-seed	NULL	NULL
16	10	2	timeout	1	0	0	0	2026-06-12 08:47:21.8981290	rtds-seed	NULL	NULL
17	10	1	recordVoicemail	1	0	0	0	2026-06-12 08:47:21.8981290	rtds-seed	NULL	NULL
18	10	1	acceptCallMenu	1	0	0	0	2026-06-12 08:47:21.8981290	rtds-seed	NULL	NULL
19	10	3	acceptCallMessage	1	0	0	0	2026-06-12 08:47:21.8981290	rtds-seed	NULL	NULL
20	10	1	sendSms	1	0	0	0	2026-06-12 08:47:21.8981290	rtds-seed	NULL	NULL
21	10	1	sendMail	1	0	0	0	2026-06-12 08:47:21.8981290	rtds-seed	NULL	NULL
22	10	3	nextStep_Success	1	1	0	0	2026-06-12 08:47:21.8981290	rtds-seed	NULL	NULL
23	10	3	nextStep_Failure	1	1	0	0	2026-06-12 08:47:21.8981290	rtds-seed	NULL	NULL
24	10	3	nextStep	1	1	0	0	2026-06-12 08:47:21.8981290	rtds-seed	NULL	NULL
25	9	1	active	0	0	0	0	2026-06-12 08:47:21.8981290	rtds-seed	NULL	NULL
26	9	2	configId	1	0	0	0	2026-06-12 08:47:21.8981290	rtds-seed	NULL	NULL
27	9	3	configName	0	0	0	0	2026-06-12 08:47:21.8981290	rtds-seed	NULL	NULL
28	9	3	phoneNumberVar	0	0	0	0	2026-06-12 08:47:21.8981290	rtds-seed	NULL	NULL
29	9	2	timeout	0	0	0	0	2026-06-12 08:47:21.8981290	rtds-seed	NULL	NULL
30	9	3	resultCurrentlyActivated_NL	1	0	0	0	2026-06-12 08:47:21.8981290	rtds-seed	NULL	NULL
31	9	3	resultCurrentlyDeactivated_NL	1	0	0	0	2026-06-12 08:47:21.8981290	rtds-seed	NULL	NULL
32	9	3	promptActivate_NL	1	0	0	0	2026-06-12 08:47:21.8981290	rtds-seed	NULL	NULL
33	9	3	promptDeactivate_NL	1	0	0	0	2026-06-12 08:47:21.8981290	rtds-seed	NULL	NULL
34	9	3	resultActivated_NL	1	0	0	0	2026-06-12 08:47:21.8981290	rtds-seed	NULL	NULL
35	9	3	resultDeactivated_NL	1	0	0	0	2026-06-12 08:47:21.8981290	rtds-seed	NULL	NULL
36	9	3	resultOnlyActive_NL	1	0	0	0	2026-06-12 08:47:21.8981290	rtds-seed	NULL	NULL
37	9	3	resultDenied_NL	1	0	0	0	2026-06-12 08:47:21.8981290	rtds-seed	NULL	NULL
38	9	3	resultError_NL	1	0	0	0	2026-06-12 08:47:21.8981290	rtds-seed	NULL	NULL
39	9	3	nextStep_Success	1	1	0	0	2026-06-12 08:47:21.8981290	rtds-seed	NULL	NULL
40	9	3	nextStep_Denied	1	1	0	0	2026-06-12 08:47:21.8981290	rtds-seed	NULL	NULL
41	9	3	nextStep_Failure	1	1	0	0	2026-06-12 08:47:21.8981290	rtds-seed	NULL	NULL
42	9	3	nextStep	1	1	0	0	2026-06-12 08:47:21.8981290	rtds-seed	NULL	NULL
43	23	1	active	1	0	0	0	2026-06-12 08:47:21.8981290	rtds-seed	NULL	NULL
44	23	3	subject	1	0	0	0	2026-06-12 08:47:21.8981290	rtds-seed	NULL	NULL
45	23	3	from	1	0	0	0	2026-06-12 08:47:21.8981290	rtds-seed	NULL	NULL
46	23	3	to	1	0	0	0	2026-06-12 08:47:21.8981290	rtds-seed	NULL	NULL
47	23	3	cc	0	0	0	0	2026-06-12 08:47:21.8981290	rtds-seed	NULL	NULL
48	23	3	bcc	0	0	0	0	2026-06-12 08:47:21.8981290	rtds-seed	NULL	NULL
49	23	3	body	1	0	0	0	2026-06-12 08:47:21.8981290	rtds-seed	NULL	NULL
50	23	2	priority	0	0	0	0	2026-06-12 08:47:21.8981290	rtds-seed	NULL	NULL
51	23	3	files	0	0	0	0	2026-06-12 08:47:21.8981290	rtds-seed	NULL	NULL
52	23	3	attachmentNames	0	0	0	0	2026-06-12 08:47:21.8981290	rtds-seed	NULL	NULL
53	23	3	attachmentData	0	0	0	0	2026-06-12 08:47:21.8981290	rtds-seed	NULL	NULL
54	23	3	customerKey	0	0	0	0	2026-06-12 08:47:21.8981290	rtds-seed	NULL	NULL
55	23	2	timeout	0	0	0	0	2026-06-12 08:47:21.8981290	rtds-seed	NULL	NULL
56	23	3	nextStep_Success	1	1	0	0	2026-06-12 08:47:21.8981290	rtds-seed	NULL	NULL
57	23	3	nextStep_Failure	1	1	0	0	2026-06-12 08:47:21.8981290	rtds-seed	NULL	NULL
58	23	3	nextStep	1	1	0	0	2026-06-12 08:47:21.8981290	rtds-seed	NULL	NULL
59	19	1	active	1	0	0	0	2026-06-12 08:47:21.8981290	rtds-seed	NULL	NULL
60	19	2	smsAccountId	1	0	0	0	2026-06-12 08:47:21.8981290	rtds-seed	NULL	NULL
61	19	3	routing	0	0	0	0	2026-06-12 08:47:21.8981290	rtds-seed	NULL	NULL
62	19	3	from	1	0	0	0	2026-06-12 08:47:21.8981290	rtds-seed	NULL	NULL
63	19	3	to	1	0	0	0	2026-06-12 08:47:21.8981290	rtds-seed	NULL	NULL
64	19	3	body	1	0	0	0	2026-06-12 08:47:21.8981290	rtds-seed	NULL	NULL
65	19	2	timeout	0	0	0	0	2026-06-12 08:47:21.8981290	rtds-seed	NULL	NULL
66	19	3	nextStep_Success	1	1	0	0	2026-06-12 08:47:21.8981290	rtds-seed	NULL	NULL
67	19	3	nextStep_Failure	1	1	0	0	2026-06-12 08:47:21.8981290	rtds-seed	NULL	NULL
68	19	3	nextStep	1	1	0	0	2026-06-12 08:47:21.8981290	rtds-seed	NULL	NULL
69	11	1	active	0	0	0	0	2026-06-12 08:47:21.8981290	rtds-seed	NULL	NULL
70	11	3	prompt	0	0	0	0	2026-06-12 08:47:21.8981290	rtds-seed	NULL	NULL
71	11	2	applicationId	0	0	0	0	2026-06-12 08:47:21.8981290	rtds-seed	NULL	NULL
72	3	1	active	1	0	0	0	2026-06-12 08:47:21.8981290	rtds-seed	NULL	NULL
73	3	2	applicationId	0	0	0	0	2026-06-12 08:47:21.8981290	rtds-seed	NULL	NULL
74	3	3	prompt	1	0	0	0	2026-06-12 08:47:21.8981290	rtds-seed	NULL	NULL
75	3	3	nextStep	1	1	0	0	2026-06-12 08:47:21.8981290	rtds-seed	NULL	NULL
76	12	1	active	1	0	0	0	2026-06-12 08:47:21.8981290	rtds-seed	NULL	NULL
77	12	3	audioSource	1	0	0	0	2026-06-12 08:47:21.8981290	rtds-seed	NULL	NULL
78	12	2	timeout	0	0	0	0	2026-06-12 08:47:21.8981290	rtds-seed	NULL	NULL
79	12	3	nextStep	1	1	0	0	2026-06-12 08:47:21.8981290	rtds-seed	NULL	NULL
80	8	1	active	1	0	0	0	2026-06-12 08:47:21.8981290	rtds-seed	NULL	NULL
81	8	2	applicationId	0	0	0	0	2026-06-12 08:47:21.8981290	rtds-seed	NULL	NULL
82	8	3	staticPrompt	0	0	0	0	2026-06-12 08:47:21.8981290	rtds-seed	NULL	NULL
83	8	2	timeout	0	0	0	0	2026-06-12 08:47:21.8981290	rtds-seed	NULL	NULL
84	8	2	maxTries	0	0	0	0	2026-06-12 08:47:21.8981290	rtds-seed	NULL	NULL
85	8	3	nextStep_0	0	1	0	0	2026-06-12 08:47:21.8981290	rtds-seed	NULL	NULL
86	8	3	nextStep_1	0	1	0	0	2026-06-12 08:47:21.8981290	rtds-seed	NULL	NULL
87	8	3	nextStep_2	0	1	0	0	2026-06-12 08:47:21.8981290	rtds-seed	NULL	NULL
88	8	3	nextStep_3	0	1	0	0	2026-06-12 08:47:21.8981290	rtds-seed	NULL	NULL
